"""","総 数(件)","合計(件)","大 気汚 染(件)","水 質汚 濁(件)","土 壌汚 染(件)","騒 音(件)","振 動(件)","地 盤沈 下(件)","悪 臭(件)","その他の公害(件)"
"平成24年度(2012年度)","904.0","446.0","144.0","76.0","6.0","95.0","3.0","0.0","122.0","458.0"
"平成25年度(2013年度)","863.0","360.0","128.0","93.0","2.0","71.0","8.0","0.0","58.0","503.0"
"","","","","","","","","","",""
"県受理分","84.0","51.0","16.0","19.0","0.0","9.0","1.0","0.0","6.0","33.0"
"","","","","","","","","","",""
"和歌山市","89.0","89.0","24.0","23.0","1.0","25.0","7.0","0.0","9.0","0.0"
"海 南 市","20.0","13.0","5.0","6.0","0.0","1.0","0.0","0.0","1.0","7.0"
"橋 本 市","274.0","15.0","5.0","7.0","0.0","1.0","0.0","0.0","2.0","259.0"
"有 田 市","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"御 坊 市","3.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"田 辺 市","196.0","83.0","42.0","15.0","0.0","21.0","0.0","0.0","5.0","113.0"
"新 宮 市","16.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","12.0"
"紀の川市","53.0","39.0","9.0","6.0","0.0","7.0","0.0","0.0","17.0","14.0"
"岩 出 市","2.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0"
"","","","","","","","","","",""
"紀美野町","3.0","3.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","",""
"  かつらぎ町","6.0","6.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0"
"九度山町","3.0","3.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0"
"高 野 町","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","",""
"湯 浅 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"広 川 町","64.0","9.0","0.0","2.0","0.0","2.0","0.0","0.0","5.0","55.0"
"有田川町","19.0","17.0","10.0","2.0","1.0","1.0","0.0","0.0","3.0","2.0"
"","","","","","","","","","",""
"美 浜 町","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日 高 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"由 良 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"印 南 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"みなべ町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高川町","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","",""
"白 浜 町","16.0","16.0","10.0","0.0","0.0","2.0","0.0","0.0","4.0","0.0"
"上富田町","10.0","6.0","4.0","1.0","0.0","1.0","0.0","0.0","0.0","4.0"
"すさみ町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","",""
"  那智勝浦町","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"太 地 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"北 山 村","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"串 本 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
